case_id,t_state,p_name,p_year,p_tnum,p_cap,xlong,ylat
3045854,IN,Winchester,2014.0,1,0.85,-84.977432,40.189621
3045880,IA,Cumberland Rose,2012.0,1,1.6,-94.43489100000001,41.227092999999996
3045934,IN,Headwaters,2014.0,100,200.0,-84.99499499999999,40.109722
3045952,MI,Cross Winds Energy Park,2014.0,62,110.98,-83.478249,43.571521999999995
3045961,IA,Lundgren,2014.0,107,251.02200000000002,-94.255455,42.404182
3046076,IL,Pilot Hill,2015.0,103,175.1,-88.04761500000001,40.979046000000004
3046080,MI,Big Turtle,2014.0,10,20.0,-82.744934,43.86314
3046087,OH,Harpster Wind,2016.0,1,1.5,-83.228584,40.718292
3046090,IA,Highland I,2015.0,211,495.01,-95.59137700000001,43.091446000000005
3046120,IA,Highland II,2015.0,3,7.04,-95.521919,43.050854
3046259,NY,Orangeville Wind,2013.0,52,84.24,-78.265495,42.713291
3046262,MA,6th Space Warning Squadron,2013.0,2,3.36,-70.541801,41.752491
3046265,ND,Bison Wind 4,2014.0,64,204.8,-101.475792,47.006512
3046358,NE,Broken Bow II,2014.0,43,75.0,-99.525475,41.551285
3046410,IN,Shenandoah School Corporation,2013.0,1,0.9,-85.523666,40.010242
3046420,MA,LWSC Wind Turbine,2014.0,1,0.6,-70.956688,42.452690000000004
3046433,OH,Honda Plant,2013.0,2,3.4,-83.893204,40.449333
3046456,IA,Wellsburg,2014.0,60,140.76,-92.983612,42.424454
3046523,MN,White Earth Tribe,2018.0,1,0.75,-95.859604,47.089199
3046536,KS,Cloud Power,2010.0,1,0.35,-97.664314,39.54911
3046549,IA,Macksburg,2014.0,51,119.646,-94.168396,41.234344
3046711,SD,"Beethoven Wind, LLC",2015.0,43,79.55,-98.053833,43.180962
3046759,KS,Alexander,2015.0,21,48.3,-99.546196,38.456131
3046922,TX,Goldthwaite,2013.0,83,141.1,-98.485229,31.404615000000003
3046929,TX,Palo Duro,2014.0,147,249.9,-101.010239,36.496635
3047062,TX,Hidalgo (Los Mirasoles),2016.0,75,150.0,-98.447525,26.469490000000004
3047069,TX,Hidalgo II (Los Mirasoles),2016.0,50,100.0,-98.396118,26.499252000000002
3047133,OK,Origin,2014.0,75,150.0,-97.336624,34.489754
3047207,TX,Mesquite Creek,2015.0,118,211.22,-101.778595,32.667534
3047217,CA,Alta X,2013.0,48,136.8,-118.25403600000001,35.08532
3047274,TX,Longhorn,2015.0,100,200.0,-101.276237,34.346825
3047378,TX,Keechi,2015.0,55,110.0,-98.17420200000001,33.188435
3047381,TX,Hereford 1,2014.0,50,100.0,-102.301651,34.779976
3047485,OK,Balko Wind,2015.0,162,299.7,-100.93457,36.503124
3047636,CO,Spring Canyon Expansion,2014.0,35,60.0,-102.963127,40.995125
3047637,OK,Kingfisher Wind,2015.0,90,180.0,-97.92144,35.640888000000004
3047844,OK,Mammoth Plains,2014.0,117,198.9,-98.754173,36.027115
3047969,NM,"Brahms Wind, LLC",2014.0,12,19.8,-103.324455,34.740345
3047976,WA,Tucannon River,2014.0,116,266.8,-118.03045700000001,46.437523
3048035,TX,Windthorst-2,2014.0,28,64.4,-98.542152,33.503624
3048237,CO,Huerfano River,2013.0,4,8.0,-104.83149,37.776092999999996
3048242,CA,City of Soledad Water Reclamation Facility,2014.0,1,1.85,-121.34016399999999,36.42094
3048243,CA,Golden Acorn Casino,2014.0,1,1.85,-116.35131799999999,32.701496
3048363,MT,Fairfield Wind Farm,2014.0,4,6.8,-111.965317,47.723273999999996
3048419,UT,Latigo,2016.0,27,62.1,-109.381294,37.883072
3048448,CA,Taylor Farms,2014.0,1,1.85,-121.451797,36.50515
3048449,TX,Spinning Spur 2,2014.0,87,160.95,-102.672989,35.336994
3048457,TX,Miami,2014.0,156,288.6,-100.552818,35.712925
3048772,TX,Los Vientos III,2015.0,100,200.0,-98.605919,26.533195000000003
3048919,ND,Border Winds Project,2015.0,75,150.0,-99.605713,48.970524
3048998,ME,Saddleback Ridge,2014.0,3,8.55,-70.37999,44.601428999999996
3049010,MD,Fourmile Ridge,2014.0,16,40.0,-78.984024,39.662014
3049026,MN,Pleasant Valley,2015.0,100,200.0,-92.885345,43.853733
3049120,MD,Fair Wind,2015.0,12,30.0,-79.381378,39.331512
3049138,CT,Wind Colebrook South,2015.0,2,5.0,-73.145882,41.962429
3049182,IL,Hoopeston Wind,2015.0,49,98.0,-87.805962,40.409374
3049216,ME,Passadumkeag,2016.0,13,42.9,-68.387497,45.126011
3049221,RI,WED Coventry 6,2016.0,3,4.5,-71.708107,41.669895000000004
3049224,RI,WED Coventry 2,2016.0,3,4.5,-71.703789,41.667122
3049227,NY,Marsh Hill,2014.0,10,16.2,-77.520576,42.179512
3049238,SD,Oak Tree,2014.0,11,19.5,-97.722038,44.944664
3049239,ME,Patriot,2008.0,3,4.5,-69.338287,44.491611
3049248,ME,Hancock,2016.0,17,51.0,-68.133354,44.73624
3049277,NC,Amazon Wind Farm US East,2017.0,104,208.0,-76.488823,36.299015000000004
3049497,IA,Adams,2016.0,60,144.9,-94.671776,40.919909999999994
3049500,IA,30 MW Iowa DG Portfolio,2017.0,10,30.0,-93.51589200000001,42.016373
3049508,MN,Black Oak Getty,2016.0,39,78.0,-95.06871,45.662186
